Tweets,len,ID,Date,Source,Likes,RTs
This move will result in withdrawal of 41% of total cases by CBDT &amp; 18% of total cases by CBIC. This is in line wit… https://t.co/NwiXd9Ouc1,144,1017327610844479488,2018-07-12 08:39:38,Twitter Web Client,10295,2785
"In a major move to improve Ease of Doing Business &amp; reduce litigation, the Government has decided to raise the mone… https://t.co/PNv4Dlvh1q",144,1017327576769892354,2018-07-12 08:39:29,Twitter Web Client,8019,2208
"Inaugurated Dharohar Bhawan, the Headquarters of ASI, in Delhi. Talked about India’s rich archaeological heritage a… https://t.co/0jyMsgedCS",140,1017325983261552640,2018-07-12 08:33:10,Twitter Web Client,5222,1470
I join the lakhs and lakhs of people whose lives were touched by Dada J.P. Vaswani in remembering him. His thoughts… https://t.co/ia6SPOtVNX,140,1017324933871857664,2018-07-12 08:28:59,Twitter Web Client,8924,2145
"In August last year, I had addressed the 99th birthday celebrations of Dada J.P. Vaswani. His blessings always gave… https://t.co/d7ILx7lKmf",140,1017324434330271744,2018-07-12 08:27:00,Twitter Web Client,7940,1556
"Dada J.P. Vaswani was a guiding light for me. About 28 years ago, I had the  honour of being with him at a world re… https://t.co/JVOLo2LN5n",140,1017324278935502849,2018-07-12 08:26:23,Twitter Web Client,6374,1630
I am saddened beyond words on the passing away of Dada J.P. Vaswani. He lived for society and served the poor and n… https://t.co/Bgoicn4Slx,140,1017323871811219456,2018-07-12 08:24:46,Twitter Web Client,10610,2446
I will be interacting with more than 1 crore women associated with various Self Help Groups across the country at 9… https://t.co/DJgPAK2BAx,140,1017253091308122114,2018-07-12 03:43:31,Twitter for iPhone,13197,2930
"70 वर्षों तक कांग्रेस पार्टी ने किसानों के श्रम को मान नहीं दिया। 

कांग्रेस ने चिंता की तो सिर्फ एक ही परिवार की,… https://t.co/8bmTg2pBYe",139,1017044368291610627,2018-07-11 13:54:07,Media Studio,21546,4961
"At the rally in Malout, elaborated on the steps taken by the NDA Government for the welfare of farmers. 

Spoke abo… https://t.co/spP1xmAKCQ",140,1017038940136587264,2018-07-11 13:32:33,Twitter Web Client,6105,1611
किसान भाइयों और बहनों से मेरी अपील है कि वे पराली न जलाएं। https://t.co/N17mDT8H3k,82,1017038434915926018,2018-07-11 13:30:33,Media Studio,11165,2735
हमारे कर्मठ किसानों के आशीर्वाद से एमएसपी बढ़ाने का वादा हमारी सरकार पूरा कर पाई है। https://t.co/GvqY5SD4k8,108,1017038303290224640,2018-07-11 13:30:01,Media Studio,9363,2373
"Always a delight to interact with Shri Parkash Singh Badal Ji. A compassionate leader, he has worked tirelessly for… https://t.co/e9n5wHucSX",140,1017037687734222848,2018-07-11 13:27:35,Twitter Web Client,8565,1990
"Happy to be in Punjab. Addressed a huge rally of farmers in Malout, Muktsar district. 

Punjab is a land that has a… https://t.co/CU0GKDE5R2",140,1017037335194624000,2018-07-11 13:26:11,Twitter Web Client,6314,1627
Birthday wishes to my esteemed colleague Shri @sureshpprabhu. He’s been assiduously working towards improving ease… https://t.co/y2Q2xfoSuZ,139,1016876531069739008,2018-07-11 02:47:12,Twitter for iPhone,15709,2655
"At 9:30 AM on 12th July, I will interact with those associated with women Self Help Groups across India. It would b… https://t.co/HwrvN9CftT",140,1016675080032550912,2018-07-10 13:26:42,Twitter Web Client,10406,2472
"Tomorrow I would be visiting Punjab to address a Kisan Kalyan Rally in Malout, Muktsar district. Farmers from Punja… https://t.co/xRwkk5I0Lk",140,1016674601932238848,2018-07-10 13:24:48,Twitter Web Client,17999,3418
Sharing my remarks at the joint press meet with President Moon Jae-in. https://t.co/MBM9rBuekh @moonriver365… https://t.co/J3zWIpKMx1,133,1016674370675040261,2018-07-10 13:23:53,Twitter Web Client,6186,1549
India and the Republic of Korea are bound by a shared vision for peace and prosperity for the people of our two nat… https://t.co/7E8sSvjmY0,140,1016673688064700416,2018-07-10 13:21:10,Twitter Web Client,7473,1913
The world is aware of the recent developments in the Korean peninsula. An atmosphere of harmony augurs well for hum… https://t.co/qcOvKNEuVF,140,1016673263710191618,2018-07-10 13:19:29,Twitter Web Client,6804,1682
"Discussed ways to boost ties between India and the Republic of Korea in areas such as trade, investment and innovat… https://t.co/jhJhEkeznj",140,1016672316653105152,2018-07-10 13:15:43,Twitter Web Client,8346,1977
"Pictures from the ceremonial welcome for Mr. Moon Jae-in, the President of the Republic of Korea. @moonriver365… https://t.co/aByInnYihC",136,1016671168470790151,2018-07-10 13:11:10,Twitter Web Client,7513,1720
Birthday greetings to @rajnathsingh Ji. His contribution in building and strengthening the BJP is outstanding. Guid… https://t.co/MPqdAQw6fa,140,1016508496806858752,2018-07-10 02:24:46,Twitter for iPhone,20971,3627
Some glimpses from the journey on the Delhi Metro. https://t.co/nmkxgMi7Jt,74,1016349945144602625,2018-07-09 15:54:44,Twitter Web Client,16563,3279
With President Moon Jae-in at the Gandhi Smriti. @moonriver365 https://t.co/JGt63GW3eP,86,1016348565629743106,2018-07-09 15:49:15,Twitter Web Client,9042,2159
"Remembering Mahatma Gandhi and his noble ideals. 

Some moments from the Gandhi Smriti. https://t.co/f20wrJbure",111,1016348241477025792,2018-07-09 15:47:58,Media Studio,15633,3176
The importance of digital technology is increasing all over India. At the programme in Noida spoke about how techno… https://t.co/i6tuc6xnb9,140,1016345619974250496,2018-07-09 15:37:33,Twitter Web Client,9371,2176
"The @makeinindia initiative is leading to transformative changes in the economy. 

For instance, take the mobile ma… https://t.co/Fk6CqTmHqk",140,1016345223474155522,2018-07-09 15:35:58,Twitter Web Client,12890,3307
I congratulate the team of @Samsung_IN and convey my best wishes to them on the inauguration of the Noida mobile un… https://t.co/rpdNxC53zm,140,1016344701513928704,2018-07-09 15:33:54,Twitter Web Client,9982,2553
